"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P101";"Socket_Strip_Arduino_1x08";1;"Power";;;
2;"P102";"Socket_Strip_Arduino_1x06";1;"Analog";;;
3;"P104";"Socket_Strip_Arduino_1x10";1;"Digital";;;
4;"P105,P106";"Socket_Strip_Arduino_1x08";2;"Digital";;;
5;"H101,H102,H103,H106,H104,H105";"Arduino_1pin";6;"CONN_01X01";;;
6;"P103";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
7;"C301,C401,C402,C403,C404,C405,C601,C604,C606,C901,C1001";"C_0603_1608Metric";11;"100nF";;;
8;"C501";"C_0603_1608Metric";1;"12pF";;;
9;"C602,C603,C902";"C_0603_1608Metric";3;"1uF";;;
10;"C605,C607,C608";"C_0603_1608Metric";3;"10uF";;;
11;"FB501";"C_0603_1608Metric";1;"500mA";;;
12;"IC201";"WLR089U0IRM";1;"WLR089U0-I_RM";;;
13;"IC301";"SOIC127P600X175-8N";1;"MAX3486ESA+";;;
14;"IC302";"SOP65P490X110-8N";1;"MAX3471EUA+";;;
15;"IC401";"SOP65P640X110-16N";1;"MAX3221CUE+";;;
16;"IC601";"SOP65P640X120-8N";1;"TPS2113PWR";;;
17;"IC701,IC902,IC801";"SOP65P640X120-16N";3;"SN74AVC4T774PWR";;;
18;"IC702,IC903,IC802,IC202";"SOT95P230X110-3N";4;"NX2301P,215";;;
19;"IC901";"NEO-M8T";1;"NEO-M8N-0";;;
20;"IC1001";"SOIC127P800X203-8N";1;"CY15B104Q-SXI";;;
21;"J101,J102";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03_Male";;;
22;"J501,J505,J511";"PinSocket_1x02_P2.54mm_Vertical";3;"Conn_01x02_Male";;;
23;"J502";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
24;"J503";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
25;"J504";"UJ2MIBHGSMTTR";1;"UJ2-MIBH-G-SMT-TR";;;
26;"J506";"1040310811";1;"104031-0811";;;
27;"J507";"CONUFL001-SMD";1;"CONUFL001-SMD-T";;;
28;"J508";"SHF-105-01-X-D-SM";1;"SHF-105-01-L-D-SM";;;
29;"J509";"BM05BZESSTBTLFSN";1;"BM05B-ZESS-TBT__LF__SN_";;;
30;"J510";"BM04BZESSTBTLFSN";1;"BM04B-ZESS-TBT__LF__SN_";;;
31;"L601";"LPS3015";1;"LPS3015-103MRB";;;
32;"L901,L801";"L_0805_2012Metric";2;"L";;;
33;"LED501";"LEDC2012X75N";1;"APT2012LSECK_J3-PRV";;;
34;"LED502";"LEDC2012X85N";1;"APT2012LSYCK_J3-PRV";;;
35;"LED503";"LEDC2012X85N";1;"APT2012LZGCK";;;
36;"LED504,LED505";"LEDC2012X85N";2;"APT2012LVBC_D";;;
37;"Q901";"SOTFL50P160X60-6N";1;"SI1040X-T1-GE3";;;
38;"R201,R202";"R_0805_2012Metric";2;"4.7k";;;
39;"R301";"R_0805_2012Metric";1;"120R";;;
40;"R501,R502";"R_0805_2012Metric";2;"15R";;;
41;"R503,R508,R509,R904";"R_0805_2012Metric";4;"0R";;;
42;"R504,R505";"R_0805_2012Metric";2;"820R";;;
43;"R506,R507,R510";"R_0805_2012Metric";3;"330R";;;
44;"R601,R609";"R_0805_2012Metric";2;"240k";;;
45;"R602,R606";"R_0805_2012Metric";2;"1M";;;
46;"R603,R701,R702,R703,R901,R902,R903,R906,R801,R802,R803,R203";"R_0805_2012Metric";12;"100k";;;
47;"R604";"R_0805_2012Metric";1;"390R";;;
48;"R605";"R_0805_2012Metric";1;"1k";;;
49;"R607";"R_0805_2012Metric";1;"100R";;;
50;"R608";"R_0805_2012Metric";1;"1M2";;;
51;"R905";"R_0805_2012Metric";1;"10R";;;
52;"R1001,R1002";"R_0805_2012Metric";2;"33R";;;
53;"R1003";"R_0805_2012Metric";1;"50R";;;
54;"S201";"SOIC127P671X170-16N";1;"97C08ST";;;
55;"S601";"TLSA070JLFS";1;"TLS_A_070J_LFS";;;
56;"U501";"SOT-23-6";1;"USBLC6-2SC6";;;
57;"U601";"Texas_DRC0010J_ThermalVias";1;"TPS63001";;;
58;"C801,C802,C803,C804,C805,C809,C812,C813";"C_0603_1608Metric";8;"1uF/50V";;;
59;"C808";"C_0603_1608Metric";1;"0.47uF/25V";;;
60;"C811";"C_0603_1608Metric";1;"4.7uF/50V";;;
61;"D801,D802,D803";"SODFL3718X108N";3;"SL03-GS08";;;
62;"J801";"SFV24R1STE1HLF";1;"SFV24R-1STE1HLF";;;
63;"Q801";"SOT65P210X110-3N";1;"Si1308EDL-T1-GE3";;;
64;"R805";"R_0805_2012Metric";1;"2R2";;;
